category	answer	question	air_date
WORLD GEOGRAPHY	Not in the 10 longest, this 1,560-mile river in a fertile basin flows by 29 cities of over 100,000 people	the Ganges	2015-02-12
HISTORIC NAMES ON THE MAP	Nothing is known of his early life in England before 1600 or of the end of his life in North America after June 22, 1611	Henry Hudson	2015-02-13
MYTHOLOGY	"The ancient Greeks derived the name of this evil sorceress from a verb meaning ""to plot\"""	Medea	2015-02-16
CALIFORNIA CITIES	A park, elementary school & medical pavilion named for Herbert Hoover are found in this 2-word California city	Palo Alto	2015-02-17
NO. 1 SONGS	A U.S. No. 1 in 1977, it was performed the night before Carl XVI Gustaf's 1976 wedding to Silvia Sommerlath	"\""Dancing Queen\"""	2015-02-18
POETS	"On completing the ""Deathbed"" edition of his great work, he wrote, ""L. of G. at last complete—after 33 y'rs of hackling at it\"""	Walt Whitman	2015-02-19
WORD ORIGINS	Describing anything very showy, in architecture it refers to a style using curves like tongues of fire	flamboyant	2015-02-20
2014 EVENTS	To prepare venues hosting this event, 12 billion perennial ryegrass seeds were imported from Manitoba, 5,000 miles away	the World Cup	2015-02-23
1980s MOVIES	At his term's end, Ronald Reagan took an office in an L.A. high-rise, still a mess from the filming of this 1988 thriller	Die Hard	2015-02-24
LANGUAGES	They're the 2 states with the highest percentage of people who speak French at home	Louisiana & Maine	2015-02-25
FOREIGN LEADERS	"On February 25, 1956, he gave a speech ""On the Personality Cult and Its Consequences"", seen as an attack on his predecessor"	Khrushchev	2015-02-26
AUTHORS & FILMMAKERS	This author had a bitter feud with Michael Moore over the title of a 2004 documentary	Ray Bradbury	2015-02-27
LITERARY FIRST LINES	"He wrote the 1971 opener ""We were somewhere around Barstow on the edge of the desert when the drugs began to take hold\"""	Hunter S. Thompson (from Fear and Loathing in Las Vegas)	2015-03-02
U.S. STATES	It's the only state name that can be typed using the letters on only one row of the standard keyboard	Alaska	2015-03-03
PRESIDENTS & THE WHITE HOUSE	When the current presidential occupant of the White House was born, this president was living there	John Fitzgerald Kennedy	2015-03-04
PRESIDENTIAL MEDAL OF FREEDOM WINNERS	"She was called a ""Trailblazer for America's daughters"" when she won in 2012, a century after founding an organization"	Juliette Gordon Low	2015-03-05
ROCK & ROLL HALL OF FAME INDUCTION SPEECHES	"Springsteen said David Sancious was ""the only member of the group who ever actually lived"" there"	E Street	2015-03-06
LITERARY CHARACTERS	"The first story in which he appeared began, ""The scent and smoke and sweat of a casino are nauseating at 3 in the morning\"""	James Bond	2015-03-09
NOBEL LAUREATES	"He was the subject of a 2014 New York Times article headlined ""A Pioneer as Elusive as His Particle\"""	Peter Higgs	2015-03-10
2014 ALBUMS	With a new release & 8 viral videos to go with it, he had the first comedy album in 50 years to top the Billboard 200	"\""Weird Al"" Yankovic"	2015-03-11
THE U.S. GOVERNMENT	On August 15, 1994, 59 years & 1 day after FDR signed the original act, Bill Clinton made this an independent agency	the Social Security Administration	2015-03-12
HISTORICAL U.S. GEOGRAPHY	It became a border territory in 1864 after being part of the Washington, Oregon, Idaho, Nebraska & Dakota territories	Montana	2015-03-13
KIDS' TV CHARACTERS	Marquez is the last name of this character who debuted in 2000	Dora the Explorer	2015-03-16
NUMBERS	This 2-digit number is the smallest prime number whose digits are both themselves prime numbers	23	2015-03-17
COMPOSERS	2 of the world's greatest Baroque composers, they were born within a month of each other in Germany in 1685 but never met	Johann Sebastian Bach & George Frederic Handel	2015-03-18
LITERARY ANAGRAMS	Vivian Darkbloom, a minor character in a 1955 novel by this foreign-born author, is an anagram of his name	Vladimir Nabokov	2015-03-19
UNWANTED FIRSTS	Jean Valliere, burned in 1523, is considered the first martyr of this religious group	the Huguenots	2015-03-20
U.S. CITIES	"Kipling wrote of this city, ""If a car"" can ""run up & down a slit in the ground... why shall I seek the reasons of the miracle?\"""	San Francisco	2015-03-23
THE SCULPTOR SPEAKS	"\""Chaste women remain fresher"" was the reason he made a mother look barely older than her son"	Michelangelo	2015-03-24
ACTRESSES	For playing a legal assistant in a 2000 film, she became the first actress to crash the $20 million salary barrier	Julia Roberts	2015-03-25
NAVY SHIPS	First designated as Armored Cruiser No. 1, this ship was commissioned in 1895 & operated on our East Coast & in the Caribbean	the Maine	2015-03-26
TRANSPORTATION	Incorporated in 1948, this company chose its name from the book of the Hebrew prophet Hosea	El Al Airlines	2015-03-27
WOMEN AUTHORS	"In addition to her novels, she also wrote a children's book about Sun Yat-sen & an ""Oriental Cookbook\"""	Pearl Buck	2015-03-30
COMEDY INSPIRATIONS	Rodney Dangerfield credited this 1972 Best Picture Oscar winner for inspiring his most famous line	The Godfather	2015-03-31
ETYMOLOGY	"From the Latin for ""to walk before"", a famous example of this 8-letter word was written in 1787"	preamble	2015-04-01
NATIONAL HISTORIC LANDMARKS	50 years after San Francisco's cable cars became a National Historic Landmark, this city's street railway got the designation in 2014	New Orleans	2015-04-02
EUROPEAN HISTORY	A 3-letter 9th century tribe is in the names of 2 21st century countries: the world's most vast, & this one	Belarus	2015-04-03
NYC LANDMARKS	"The lobby of this landmark has an art deco ceiling fresco by Edward Trumbull called ""Transport and Human Endeavor\"""	the Chrysler Building	2015-04-06
CELEBRITY FATHERS & DAUGHTERS	He won a Grammy in 1959, she won 3 in the 1970s & a song by both was 1991's Song & Record of the Year	Nat King Cole & Natalie Cole	2015-04-07
SHAKESPEARE'S CHARACTERS	One of the Bard's few plays with children on stage is this one with 2 brothers who last appear alive in Act III, Scene i	Richard III	2015-04-08
REFERENCE WORKS	Now in its fourth edition, the book with this title first appeared in 1918 as a 43-page guide for Cornell English students	The Elements of Style	2015-04-09
RUSSIANS	"The subtitle of a biography about this early 20th century man is ""The Saint Who Sinned\"""	Rasputin	2015-04-10
GEOGRAPHY	The Caucasian Isthmus lies between these 2 large inland bodies of water	the Caspian Sea & the Black Sea	2015-04-13
U.S. PRESIDENTS	Only 2 presidents had their last names changed—these 2	Ford & Clinton	2015-04-14
THE GREEK ALPHABET	When spelled out as words in English, 2 of the 3 longest Greek letters	(2 of) epsilon, upsilon & omicron	2015-04-15
WORLD LEADERS	On the occasion of this late leader's visit to the U.S. in 2009, ABC News listed 112 various spellings of his name	Muammar Gaddafi	2015-04-16
BOOK REVIEWS	"A 2008 review of this novel, later filmed, compared it to ""Battle Royale"" & said it's ""a future we can fear\"""	The Hunger Games	2015-04-17
BUSINESS	This social media company launched in October 2010; in 2012, with about a dozen employees & no revenue, it sold for $1 billion	Instagram	2015-04-20
BODIES OF WATER	The Finnish call it Itameri & the Germans call it Ostsee	the Baltic Sea	2015-04-21
AMERICAN POETRY	"This 1883 poem says, ""Here at our sea-washed, sunset gates shall stand a mighty woman...\"""	"\""The New Colossus\"""	2015-04-22
ACTORS	Ironically, in the summer of 1955, he gave an interview about the dangers of racing on highways	James Dean	2015-04-24
WEDDINGS	In April 2011 he married an heiress to the fortune of a company called Party Pieces	Prince William	2015-04-27
MOVIES & TV	"The first hit feature film based on a ""Saturday Night Live"" sketch was ""The Blues Brothers""; this was the second"	Wayne's World	2015-04-28
CHAIN STORE NAMES IN THE NEWS	"The 1917 first use of what became its name said this 2-word small room ""called up the tube that the steamer... was torpedoed\"""	Radio Shack	2015-04-29
WORLD CITIES	According to U.N. statistics, it's the most populous city in the Americas not attached to the mainland	Havana, Cuba	2015-04-30
VICE PRESIDENTS	Of the 5 former vice presidents still living, he held the office the earliest	Walter Mondale	2015-05-01
CONSERVATION ORGANIZATIONS	Harriet Hemenway's boycott of the feathered hats of her social circle inspired the 1905 founding of this	the Audubon Society	2015-05-04
LITERATURE	Interestingly, at the start of this novel, Prince Oblonsky, the title character's brother, has been unfaithful	Anna Karenina	2015-05-05
SCHOOLS AROUND THE WORLD	In 1906 this city's Academy of Fine Arts admitted Egon Schiele; in 1907 it rejected Adolf Hitler	Vienna, Austria	2015-05-06
MASCOTS	For the first time in almost 100 years, this pro team has an official mascot, a bear named Clark	the Chicago Cubs	2015-05-07
HISTORIC SITES	On August 15, 1941 convicted Nazi spy Josef Jakobs became the last person to be put to death here	the Tower of London	2015-05-08
THE OSCARS	Last name of the only family to have a father & daughter receive Academy Award nominations for Best Director	Coppola	2015-05-11
FAMOUS NAMES	"In March 2012 this director tweeted, ""Just arrived at the ocean's deepest pt. Hitting bottom never felt so good\"""	James Cameron	2015-05-13
BESTSELLING BOOKS	In 2014 a collection of her columns became the 1st bestseller entirely by this woman who championed many other bestsellers	Oprah Winfrey	2015-05-14
CELEBRITY MEMOIRS	"Memoirs by Righteous Brothers singer Bill Medley & this late actor share the title ""The Time of My Life\"""	Patrick Swayze	2015-05-15
ANIMATED MOVIE CHARACTERS	"Her look was partly inspired by descendant Shirley ""Little Dove"" Custalow McGowan & by model Christy Turlington"	Pocahontas	2015-05-18
EUROPEAN CITIES	"The European Central Bank is based in this city sometimes called ""Mainhattan\"""	Frankfurt	2015-05-19
RELIGION	"The ""N"" in the I.N.R.I. written on the Christian cross refers to this place"	Nazareth	2015-05-20
19th CENTURY AUTHORS	"In an essay, he wrote, ""I would rather sit on a pumpkin and have it all to myself than be crowded on a velvet cushion\"""	Thoreau	2015-05-21
CHILDREN'S LITERATURE	In a recent British poll, the 1926 book about this title character was named the favorite children's book of the past 150 years	Winnie the Pooh	2015-05-22
HYMNS	A Christian hymn & a Jewish holiday hymn are both titled this, also the name of a 2009 Tony-nominated musical	Rock Of Ages	2015-05-25
ANCIENT TIMES	Aristotle said that an ancient Athenian law made uprooting one of these trees punishable by death	an olive tree	2015-05-26
GOVERNORS	Governors of adjacent states, these 2 ex-prosecutors are also adjacent on an alphabetical list of governors	Christie & Cuomo	2015-05-27
AMERICAN LITERATURE	"Published a year later, ""Good Wives"" was a follow-up to this 1868 novel"	Little Women	2015-05-28
COLLEGES & UNIVERSITIES	"Mens et manus, ""mind and hand"", is the motto of this university whose alumni include I.M. Pei, Amar Bose & Richard Feynman"	MIT	2015-05-29
SPORTS RULES	The Syracuse owner created this in 1954 & it may have helped his team succeed the Lakers as champs the next year	the 24-second shot clock	2015-06-01
INFAMOUS	Born in Illinois of Huguenot ancestry, he was executed in June 1882, a year after his heinous act	Charles Guiteau	2015-06-02
BRITISH CITIES	"The name of this Southern city famous in literature is from words meaning ""Kent people's stronghold\"""	Canterbury	2015-06-03
NOTORIOUS 20th CENTURY NAMES	Morton Sobell, a co-defendant with these 2, was also convicted but received a lighter sentence: 30 years in prison	Julius & Ethel Rosenberg	2015-06-04
MOTTOES	Though the 2 men were very different, this 4-word motto came to represent both Oscar Wilde & Louis B. Mayer	"\""Art for art's sake\"""	2015-06-05
LITERARY CHARACTERS	"This name made famous in a 17th century novel is derived from the Spanish for ""sweet\"""	Dulcinea	2015-06-08
HUMANITIES & HISTORY	"Echoing the Morse code for V, in WWII the BBC's ""V for Victory"" campaign used this classical work as a theme"	Beethoven's Fifth Symphony	2015-06-09
HISTORIC QUOTES	"During the 1976 presidential campaign, Ronald Reagan said of this, ""We built it, we paid for it, it's ours & we are going to keep it\"""	the Panama Canal	2015-06-10
MEDITERRANEAN ISLANDS	A statue of St. Paul is located on this island where he took refuge after a shipwreck	Malta	2015-06-11
SHIPS IN THE NEWS	"In 2012 Nature magazine ran an obituary for this ship, which ""died after a long struggle with bad publicity\"""	the Exxon Valdez	2015-06-12
19th CENTURY POETRY	"He rhymed the title character of one of his best-known poems with ""drew on"", ""threw on"" & ""ruin\"""	Lord Byron	2015-06-15
QUOTABLE PAINTERS	"\""A reviewer... wrote that my pictures didn't have any beginning or any end. He didn't mean it as a compliment, but it was\"""	Jackson Pollock	2015-06-16
